百花繚乱;ひゃっかりょうらん;"/(adj-no,adj-t,adv-to,n,vs) many flowers blooming in profusion; simultaneous emergence of many talents and achievements/"
先手必勝;せんてひっしょう;/(exp,n) Victory goes to one who makes the first move/Being quick to take action leads to victory./The first strike decides the battle./
極悪非道;ごくあくひどう;"/(n,adj-na) heinous/treacherous/atrocious/diabolic/fiendish; inhuman/"
品行方正;ひんこうほうせい;/(n,adj-na) of strict morality/irreproachable/
皮相浅薄;ひそうせんぱく;/(n,adj-na) shallow and unwise/superficial and thoughtless/
議論百出;ぎろんひゃくしゅつ;/(n) endless (fierce) arguments/diverse arguments arising in great numbers/
是是非非;ぜぜひひ;/(n) free and unbiased/fair and just/ruling or judging what's right is right and what's wrong is wrong/calling spade a spade/
悲喜交交;ひきこもごも;/(n) having mingled feelings of joy and sorrow/joy and sorrow alternating in one's heart/bitter-sweet/
浅学非才;せんがくひさい;/(n) one's lack of learning or ability/shallow learning and limited ability/
被害妄想;ひがいもうそう;/(n) paranoia/persecution complex/victim complex/
依怙贔屓;えこひいき;/(n,vs) favoritism/partiality/nepotism/
悲歌慷慨;ひかこうがい;/(n,vs) sing a dirge pouring out lamentation over something/
悲憤慷慨;ひふんこうがい;/(n,vs) indignant lamentation over something/indignantly deplore something/
表裏一体;ひょうりいったい;"/(n) (being inseparable like) the two sides of the same coin/two things that appear different being in fact inextricably linked; being one and indivisible/"
君子豹変;くんしひょうへん;/(exp,n) 1 (original meaning) The wise readily adapt themselves to changed circumstances./The wise are quick to acknowledge their mistakes and correct them./2 (in colloquial usage, ironically or as an excuse) The wise make no scruple in suddenly changing their demeanor (attitude, idea, intention)./
千篇一律;せんぺんいちりつ;/(adj-na,adj-no,n) humdrum/lack of variety/monotony/stereotypical/
風林火山;ふうりんかざん;"/(exp,n) ""Swift as wind, quiet as forest, fierce as fire, and immovable as a mountain."" (the motto of the feudal lord Takeda Shingen, quoted from Sun-tzu)/"
斬新奇抜;ざんしんきばつ;/(adv-na,n) novel, unconventional, and daring/
抜本塞源;ばっぽんそくげん;/(n) eradication of (sources of) evil/laying the ax to the root of evil/
大死一番;だいしいちばん;/(daishi'ichiban/taishi'ichiban) (n-adv,n,vs) exerting oneself to the utmost, prepared to die if necessary/
大器晩成;たいきばんせい;/(exp,n) Great talents mature late/being a late bloomer/
薬九層倍;くすりくそうばい;/(exp,n) Medicines are priced at nine times their cost./There is a huge markup in medicines./
緊褌一番;きんこんいちばん;/(n-adv) gird up one's loins/brace oneself up (for)/act with determination and resolve/
老婆親切;ろうばしんせつ;/(n) grandmotherly solicitude for another's welfare/excessive solicitude/
意馬心猿;いばしんえん;/(n) the clamorous demands of (uncontrollable) passions/(being unable to control) one's worldly desires and passions/
一枚看板;いちまいかんばん;/(n) the shining star (of a troupe)/the central figure/the best item one has to show/the only thing that can be boasted of/
千辛万苦;せんしんばんく;/(n,vs) all kinds of hardships/indescribable hardships/
千変万化;せんぺんばんか;/(n,vs) innumerable changes/infinite variety/kaleidoscopic variations/
椀飯振舞;おうばんぶるまい;/(n,vs) sumptuous feast/lavish hospitality/lavishly wining and dining (others)/
馬耳東風;ばじとうふう;/(n) turning a deaf ear (to)/not paying attention to someone's opinions or criticism/in one ear and out the other/praying to deaf ears/
乳母日傘;おんばひがさ;/(n) (onbahigasa/onbahikarakasa)(bringing up a child) with greatest care pampering (him/her) with material comforts of a rich family/(being brought up) in a hothouse atmosphere/
空空漠漠;くうくうばくばく;/(adj-no,adj-t,adv-to) vast/boundless/empty/vague and hazy/
万古不易;ばんこふえき;/(n) eternally unchanging/
森羅万象;しんらばんしょう;/(n) all things in nature/the whole creation/everything under the sun/all natural phenomena/
気炎万丈;きえんばんじょう;/(n) in very high spirits/talking big/
鯨飲馬食;げいいんばしょく;/(n,vs) heavy eating and drinking/drinking like a fish and eating like a horse/eating mountains of food and drinking oceans of liquor/
千客万来;せんきゃくばんらい;/(n) flood of customers/(doing) a roaring business/having a constant stream of visitors (customers)/
名声赫赫;めいせいかくかく;/(meiseikakkaku/meiseikakukaku) (adj-t,adv-to) of great renown/highly illustrious/at the zenith of one's fame/
才子佳人;さいしかじん;/(n) a talented man and a beautiful woman/well-matched pair/the quick-witted and the beautiful/wit and beauty/
片言隻句;へんげんせきく;/(n) (hengensekku/hengensekiku)a few words/a single phrase/
三拝九拝;さんぱいきゅうはい;/(n,vs) kowtowing/bowing repeatedly/
行雲流水;こううんりゅうすい;/(n) living naturally unmindful of mundane affairs/taking life as it comes/(metaphorically) floating with the tide/
奸佞邪智;かんねいじゃち;/(n) wiles and cunning/craftiness and treachery/
栄耀栄華;えいようえいが;/(n) wealth, prosperity, and arrogant splendor/(living sumptuously) intoxicated by wealth and power/
勇猛果敢;ゆうもうかかん;/(n,adj-na) daring and resolute/having dauntless courage/
前後不覚;ぜんごふかく;"/(n) unconsciousness/having no awareness of one's actions; having no recollection of one's actions/"
威風堂堂;いふうどうどう;"/(adj-t,adv-to) awe-inspiring/majestic/commanding/stately; with an imposing air/in a stately (dignified) manner/"
複雑怪奇;ふくざつかいき;/(n,adj-na) complex and mysterious (bizarre)/complicated and inscrutable/
不羈奔放;ふきほんぽう;/(n,adj-na) unfettered/unrestrained/free-spirited and uninhibited/
風俗壊乱;ふうぞくかいらん;/(n) corruption of public morals/offense against public morality/
風声鶴唳;ふうせいかくれい;/(n) getting frightened even by a slight noise/hearing the enemy in every leaf that rustles/being afraid of one's own shadow/
霊魂不滅;れいこんふめつ;/(n) immortality of the soul/
清風明月;せいふうめいげつ;/(n) refreshing breeze and the bright moon/a beautiful nocturnal scene with a full moon/
獅子奮迅;ししふんじん;/(n,vs) furiously/with the fury of a lion/with irresistible force/with furious energy/
阿附迎合;あふげいごう;/(n,vs) ingratiation/sycophancy/
富貴栄華;ふうきえいが;/(n) wealth, rank, and arrogant splendor/
福徳円満;ふくとくえんまん;/(n) being perfectly happy and prosperous/wealth and happiness/
孤軍奮闘;こぐんふんとう;/(n,vs) fight alone/put up a solitary struggle/carry on a single-handed battle/
力戦奮闘;りきせんふんとう;"/(n,vs) fighting with all one's might/fighting up against; making strenuous efforts/"
不偏不党;ふへんふとう;/(n) impartial and unbiased/neutral and impartial/nonpartisan/
面向不背;めんこうふはい;/(n) beautiful from any angle/attractive when seen from either front or back/flawless/
五風十雨;ごふうじゅうう;/(n) seasonable rains and winds/rains and winds suitable for growing/halcyon weather/halcyon times of peace/
不惜身命;ふしゃくしんみょう;/(n) not sparing one's life for the sake of Buddhism/not sparing oneself for a worthy cause/
夫唱婦随;ふしょうふずい;/(n) way of life in which the wife follows the husband's lead/
奮励努力;ふんれいどりょく;/(n,vs) strenuous exertions/making strenuous efforts/exerting oneself/
焚書坑儒;ふんしょこうじゅ;/(n) burning books on the Chinese classics and burying Confucian scholars alive/
付和雷同;ふわらいどう;/(n,vs) assentation/following blindly/following suit without reflection/go along with someone having no definite views or convictions of one's own/
難攻不落;なんこうふらく;/(n,adj-no) impregnable/invulnerable/
不眠不休;ふみんふきゅう;/(n) without sleep or rest/day and night/
不朽不滅;ふきゅうふめつ;/(n,adj-no) everlasting/eternal/immortal/imperishable/undying/
不倶戴天;ふぐたいてん;/(n) cherishing an implacable hostility (toward)/sworn enemies being unable to breathe the same air/
不撓不屈;ふとうふくつ;/(n) indefatigability/indomitableness/with unremitting tenacity/
難行苦行;なんぎょうくぎょう;"/(n,vs) ascetic practices/ordeal/trials and tribulations; living through extreme hardships/"
不言実行;ふげんじっこう;/(n) action before words/no talk and all deeds/Action speaks louder than words./
大言壮語;たいげんそうご;"/(n,vs) heroic words/big talk/boasting/bragging; grandiloquence/rodomontade/"
内股膏薬;うちまたこうやく;/(n) double-dealer/timeserver/moving back and forth between two sides in a conflict/
試行錯誤;しこうさくご;/(n,vs) trial and error/
韋編三絶;いへんさんぜつ;/(n,vs) repeated reading/close (careful) reading/careful perusal/
不老不死;ふろうふし;/(n) eternal youth and immortality/
益者三友;えきしゃさんゆう;/(exp,n) There are three types of friends worth having--honest, sincere, and well-informed ones. (Confucius)/
人事不省;じんじふせい;/(n) unconsciousness/loss of consciousness/
不承不承;ふしょうぶしょう;/(n,adv) reluctantly/grudgingly/unwillingly/
論功行賞;ろんこうこうしょう;/(n) granting rewards according to achievements/conferring honors according to merit/
猪突猛進;ちょとつもうしん;/(n,vs) make a headlong rush (at)/rush forward recklessly/
上意下達;じょういかたつ;/(n,vs) conveying the will (pleasure) of the governing to the governed/getting across the will (pleasure) of a superior to all the subordinates/
牽強付会;けんきょうふかい;/(n,vs) farfetched (idea/interpretation)/twisted (argument), forced (view)/strained (logic/
欣喜雀躍;きんきじゃくやく;/(n,vs) jump (dance) for joy/cannot contain one's joy/
意気軒昂;いきけんこう;/(adj-na,adj-t,adv-to) in high spirits/in an ebullient mood/elated/
意気投合;いきとうごう;/(n,vs) hit it off with (a person)/find a kindred spirit in (a person)/
意気消沈;いきしょうちん;/(n,vs) in low spirits/despondent/disheartened/down in the dumps/
意気揚揚;いきようよう;/(adj-t,adv-to) triumphant/exultant/in high and proud spirits/
風光明媚;ふうこうめいび;/(n,adj-na) beautiful natural scenery/scenic or natural beauty/
用意周到;よういしゅうとう;/(adj-na,adj-no,n) meticulous in everything/painstaking preparedness/exhaustively careful in one's preparation/
下意上達;かいじょうたつ;/(n,vs) conveying the opinions of the masses to the powers that be/conveying the will of the governed to those who govern/a situation in which the views of those below reach those at the top/
粉骨砕身;ふんこつさいしん;/(n,vs) exert oneself to the utmost/work oneself to the bone/
無為自然;むいしぜん;/(n) doing nothing and taking things as they come/abandoning artifice and just being oneself (Lao-tzu)/
無為徒食;むいとしょく;"/(n,vs) idling one's time away/eating the bread of idleness; spending a useless life/"
無為無策;むいむさく;"/(n) donothingism/do-nothing, plan-nothing (government, etc.); being an idle onlooker taking no steps to meet the situation/"
無学文盲;むがくもんもう;/(n,adj-na) ignorant and illiterate/uneducated and illiterate/
無我夢中;むがむちゅう;/(n) being completely absorbed in/losing oneself in/being delirious with/self-absorption/
完全無欠;かんぜんむけつ;/(n,adj-na) flawless/absolute perfection/
無間地獄;むけんじごく;/(n) the Avici hell, the eighth and most painful of the eight hells in Buddhism/
無二無三;むにむさん;/(n,adj-no) (1) in earnest/single-mindedly/with intense concentration/rushing headlong into/(2) one and only/unique/
酔生夢死;すいせいむし;/(n) idling one's life away/dreaming away one's life accomplishing nothing significant/
無始無終;むしむしゅう;/(n) everlastingness/eternity/
雲散霧消;うんさんむしょう;/(n,vs) vanishing like mist/disappearing into thin air/going up in smoke/
無常迅速;むじょうじんそく;/(exp,n) promptitude of the changes of the times/Time and tide wait for no man./Death strikes suddenly and mercilessly./
国士無双;こくしむそう;/(n) person of great caliber unparalleled in the land/person of unsurpassed distinction/
海内無双;かいだいむそう;/(n) unparalleled in the whole country/without peer in the land/
有象無象;うぞうむぞう;/(n) pack of riffraff/the small fry/motley crowd of ordinary or undistinguished persons/mere anybodies/the common ruck/
無理無体;むりむたい;/(n,adj-na) by force/forcibly/using strong-arm methods/
旧態依然;きゅうたいいぜん;/(adj-no,adj-t,adv-to,n) remaining unchanged (from the old state of things)/none the better for the change (if at all)/
一汁一菜;いちじゅういっさい;/(n) meal consisting of rice, one soup and one other dish/a simple meal/
九死一生;きゅうしいっしょう;/(n) narrow escape from the jaws of death/
鶏口牛後;けいこうぎゅうご;/(exp,n) It is better to be the beak of a rooster than the rump of a bull/It is better to be a big fish in a little pond than a little fish in a big pond./It is better to be the leader of a small group than a subordinate in a large organization./
秋霜烈日;しゅうそうれつじつ;/(n) harshness/severity (of punishment, authority, will, etc.)/
昼夜兼行;ちゅうやけんこう;/(n) around-the-clock/(working) day and night/
内柔外剛;ないじゅうがいごう;/(n) being tough on the outside but soft at heart/a faint-hearted person pretending to be brave/
一部始終;いちぶしじゅう;/(n) full particulars/the whole story/from beginning to end/
外柔内剛;がいじゅうないごう;/(n) gentle on the outside but tough on the inside/an iron hand in a velvet glove/
暗送秋波;あんそうしゅうは;/(n) giving an amorous sidelong look/casting an amorous glance (at)/playing up to someone behind the scenes/
尽忠報国;じんちゅうほうこく;/(n) loyalty and patriotism/
面従後言;めんじゅうこうげん;/(n) pretending to obey someone to his face but badmouthing him behind his back/
危急存亡;ききゅうそんぼう;"/(n) time of emergency/critical moment (hour, time); life-or-death situation/"
暗中模索;あんちゅうもさく;/(n,vs) groping in the dark/exploring new avenues without having any clues/
自給自足;じきゅうじそく;/(n,vs) self-sufficiency/autarky/
十人十色;じゅうにんといろ;/(exp,n) So many people, so many minds/everyone has his own ideas and tastes/It takes all sorts to make a world./To each his (her) own./
暗中飛躍;あんちゅうひやく;/(n,vs) behind-the-scenes maneuvering/secret maneuvers/
牛飲馬食;ぎゅういんばしょく;/(n,vs) heavy eating and drinking/eating mountains of food and drinking oceans of liquor/
面従腹背;めんじゅうふくはい;/(n) pretense of loyalty/feigned obedience/pretending to obey but secretly betraying (someone)/
九牛一毛;きゅうぎゅういちもう;/(n) a drop in the bucket (ocean)/a small fraction (of)/trifle/
苛斂誅求;かれんちゅうきゅう;/(n) imposing exacting (crushing, oppressive) taxes/
汗牛充棟;かんぎゅうじゅうとう;/(n) (having/there being) a great number of books/
一目十行;いちもくじゅうぎょう;/(n) outstanding reading ability (Literally: one glance, ten lines)/
周章狼狽;しゅうしょうろうばい;/(n,vs) consternation/dismay/being flustered/being disconcerted/
躊躇逡巡;ちゅうちょしゅんじゅん;/(n,vs) shilly-shally/hesitation/indecision/vacillation/
進取果敢;しんしゅかかん;/(adj-na) enterprising and daring/boldly forward-looking/
取捨選択;しゅしゃせんたく;/(n,vs) make a choice among many/select the good (desirable, necessary, relevant) and discard the rest/decision to adopt or reject/
医食同源;いしょくどうげん;/(exp,n) Medicine and one's daily diet are equally important for a healthy body./The same principles underlie a normal diet and medical treatment./
唯一無二;ゆいいつむに;/(n,adj-no) one and only/unique/
余裕綽綽;よゆうしゃくしゃく;/(adj-na,adj-no,adj-t,adv-to) calm and composed/having enough and to spare/
自由自在;じゆうじざい;/(adj-na,adj-no,n) freely/in complete control of/with complete freedom/at will/as one pleases/
群雄割拠;ぐんゆうかっきょ;/(n,vs) rivalry of local warlords/rival camps vying for supremacy/a number of powerful (talented, influential) persons standing by themselves in a given field/
内憂外患;ないゆうがいかん;/(n) troubles both at home and abroad/troubles at home, dangers from abroad/beset with both internal and external problems/
勇往邁進;ゆうおうまいしん;/(n,vs) dash forward without flinching/push forward in full fling/
融通無碍;ゆうずうむげ;"/(n,adj-na) free from restraints, unfettered and flexible; versatile/adaptable/"
有名無実;ゆうめいむじつ;/(adj-na,adj-no,n) in name but not in reality/only in name and not in substance/titular/nominal/
優柔不断;ゆうじゅうふだん;/(n,adj-na) shilly-shally/indecisiveness/wishy-washy/being weak and vacillating/
悠悠閑閑;ゆうゆうかんかん;"/(adj-t,adv-to) composed and unhurried/easygoing and leisurely; in indolence/"
優勝劣敗;ゆうしょうれっぱい;/(exp,n) The strong will win and the weak will lose/survival of the fittest/
勇猛精進;ゆうもうしょうじん;/(n,vs) engage in ascetic practices with dauntless spirit/
先憂後楽;せんゆうこうらく;/(n) hardship now, pleasure later/seeking pleasure only after dealing with difficulties/seeking pleasure only after the happiness of the people is assured (a precept to be observed by a ruler)/
感慨無量;かんがいむりょう;/(adj-na,adj-no,n) be filled with deep emotion/the fullness of the heart/
大同小異;だいどうしょうい;/(adj-na,adj-no,n) substantial identify with insignificant differences/nearly alike/
多情仏心;たじょうぶっしん;"/(n) being sensitive and kind-hearted/tenderheartedness; loving-kindness/"
悪人正機;あくにんしょうき;/(exp,n) The evil persons are the right object of Amida's salvation./The evil persons have the unique opportunity to go to heaven./
同床異夢;どうしょういむ;"/(n) acting together but having different views or objectives; making strange bedfellows/"
多情多恨;たじょうたこん;/(n,adj-na) being full of tears and regrets/highly emotional and filled with regrets and resentments/
杓子定規;しゃくしじょうぎ;/(n,adj-na) going by a hard-and-fast rule/being a stickler for rules/being rigid and narrow-minded/
一目瞭然;いちもくりょうぜん;/(n,adj-na) patently obvious/plain to anyone/as clear as day/
時期尚早;じきしょうそう;/(n,adj-na) premature/too early/The time is not ripe/
良妻賢母;りょうさいけんぼ;/(n) (being) a good wife and wise mother/
一蓮托生;いちれんたくしょう;/(n) casting one's lot with another/sharing the same fate with others/being in the same boat/sinking or swimming with the company/
明鏡止水;めいきょうしすい;/(n) clear and serene/clear and serene mental state/mind uncluttered by evil thoughts/
魑魅魍魎;ちみもうりょう;/(n) evil spirits of mountains and rivers/monsters, goblins, and ghosts/all sorts of weird creatures/
針小棒大;しんしょうぼうだい;/(n) exaggeration/making a mountain out of a molehill/
無理往生;むりおうじょう;/(n) forcing compliance/forcing someone to agree to something/
拈華微笑;ねんげみしょう;"/(n) heart-to-heart communication/thought transference (Literally: ""holding a flower and subtly smiling."")/"
神機妙算;しんきみょうさん;/(n) inscrutable stratagem/ingenious scheme/
公序良俗;こうじょりょうぞく;/(n) public order and morals (decency)/public peace and good order/
即身成仏;そくしんじょうぶつ;/(n,vs) attaining Buddhahood while still alive/
狂喜乱舞;きょうきらんぶ;/(n,vs) boisterous dance/dancing wildly for joy/
大願成就;たいがんじょうじゅ;/(n,vs) realization of a great ambition/attainment of one's most cherished desire/one's earnest prayer being answered/
常套手段;じょうとうしゅだん;/(n) one's usual practice/one's old trick/one's usual modus operandi/the same old tactic/
日常茶飯;にちじょうさはん;/(n) everyday occurrence/commonplace of life/nothing out of the ordinary/
生老病死;しょうろうびょうし;/(n) the four inevitables in human life -- birth, aging, sickness, and death/
盛者必衰;じょうしゃひっすい;/(exp,n) The prosperous must decay/All glories must fade./
生者必滅;しょうじゃひつめつ;/(exp,n) All living things must die./
自縄自縛;じじょうじばく;/(n) being caught in one's own trap/being caught in a web of one's own making/
老少不定;ろうしょうふじょう;/(exp,n) Death comes to old and young alike./uncertainty of life/
喋喋喃喃;ちょうちょうなんなん;"/(adj-t,adv-to,n,vs) bill and coo/indulge in billing and cooing; holding an intimate, long-winded conversation in whispers/"
正真正銘;しょうしんしょうめい;/(n-adv,n) genuine/real/true/authentic/veritable/
戦戦兢兢;せんせんきょうきょう;/(sensenkyoukyou) (adj-na,adj-no,adj-t,adv-to) trembling with fear/filled with trepidation/
情状酌量;じょうじょうしゃくりょう;"/(n,vs) taking the extenuating circumstances into consideration; reducing the sentence where there are extenuating circumstances/"
弱肉強食;じゃくにくきょうしょく;/(n) the survival of the fittest/the law of the jungle/dog-eat-dog/
小心翼翼;しょうしんよくよく;"/(adj-na,adj-no,adj-t,adv-to) very timid/very nervous; faint-hearted/"
捲土重来;けんどちょうらい;/(n) (kendojuurari/kendochourai)recouping one's strength for a renewed attack (on)/making another attempt with redoubled efforts/
孤城落日;こじょうらくじつ;"/(n) feeling apprehensive/feeling (looking) lone and helpless; being down-and-out (ruined)/helplessness of those in reduced circumstances/"
免許皆伝;めんきょかいでん;/(n) initiation into the secrets (of an art)/full proficiency (in an art)/
諸行無常;しょぎょうむじょう;/(exp,n) the impermanence of worldly things/All worldly things are transitory. All things must pass./
暮色蒼然;ぼしょくそうぜん;/(adj-t,adv-to) somber light of a gathering dusk/dusky gray of evening twilight/deepening gloom of the evening/
才色兼備;さいしょくけんび;/(n) (a woman) being gifted with both intelligence (wit) and beauty/
巧言令色;こうげんれいしょく;/(n) honeyed words and oiled smiles/(using) sweet words with feigned sincerity/
暴飲暴食;ぼういんぼうしょく;/(n,vs) eating and drinking to excess/intemperance in eating and drinking/
金科玉条;きんかぎょくじょう;/(n) a golden rule/
金枝玉葉;きんしぎょくよう;/(n) (1) member of the Imperial family/royalty/(2) beautiful clouds/
挙国一致;きょこくいっち;/(n,vs) national unity/the whole nation being united for a common cause/
大所高所;たいしょこうしょ;/(n) broad perspective/broad point of view/taking the whole situation (a larger picture) into account/
門外不出;もんがいふしゅつ;/(n) never allowing something to be taken off the premises/(a treasure or secret) never seeing the light of day/
大山鳴動;たいざんめいどう;/(n) a big fuss over nothing/much cry and little wool/much ado about nothing/
合従連衡;がっしょうれんこう;/(n,vs) changing political or military alignment according to changing circumstances/forming a political or military alliance for expediency/
無芸大食;むげいたいしょく;/(n) lacking the talent to do anything but eat a lot/having no other merit than a sound appetite/
胆大心小;たんだいしんしょう;/(n) both bold and careful/both audacious and meticulous/
枝葉末節;しようまっせつ;"/(n) unimportant details/unessentials/piddling matters; inconsequentia/"
和洋折衷;わようせっちゅう;/(n) a blending of Japanese and Western styles/
羊質虎皮;ようしつこひ;/(n) a sheep in a tiger's skin/gimcrack/showy without real worth/all show and no substance/
要害堅固;ようがいけんご;/(n) (a fortress being) impregnable/unassailable/(taking to an) impregnable fastness/
問答無用;もんどうむよう;/(n) there being no use in arguing (about it)/being stone-deaf to someone's appeals/
麻姑掻痒;まこそうよう;/(n) things happening exactly as one pleases (wishes)/someone being very attentive to one's wishes/
羊頭狗肉;ようとうくにく;/(n) using a better name to sell inferior goods/crying wine and selling vinegar/
一陽来復;いちようらいふく;/(n) the return of spring (after the cold of winter)/brighter prospects after a period of gloom/
紆余曲折;うよきょくせつ;/(n,vs) twists and turns/ups and downs/taking a tortuous course/complications/
私利私欲;しりしよく;"/(n) desire to act only in one's self-interest/selfish desires; avarice/greed/"
舌先三寸;したさきさんずん;/(n) a glib tongue (with fair words)/fluent talk designed to deceive/talk something away/
自画自賛;じがじさん;/(n,vs) sing one's own praises/praise one's own wares/blow one's own horn/
未来永劫;みらいえいごう;/(n-t) eternity/through all eternity/for evermore/
磊磊落落;らいらいらくらく;/(n,adj-na) openhearted/unaffected/free and easy/
豪放磊落;ごうほうらいらく;/(n,adj-na) bold and big-hearted/broad-minded, free, and easy/
喜怒哀楽;きどあいらく;/(n) human emotions (joy, anger, sorrow, and humor)/
王道楽土;おうどうらくど;/(n) realm of peace and prosperity/land of simple pleasure and quiet life ruled by a virtuous king/
沈魚落雁;ちんぎょらくがん;/(n) the charms of a rarely beautiful woman/(Literally: (so beautiful that), in shame, fish stay on the bottom of water and flying wild geese fall from the sky)/
洒洒落落;しゃしゃらくらく;"/(n,adj-na) free and easy/frank, easy, and openhearted; sophisticatedly refined/"
満目蕭条;まんもくしょうじょう;/(adj-t,adv-to) all nature being bleak and desolate/scene looking desolate and forlorn as far as the eye can see/
忠君愛国;ちゅうくんあいこく;"/(n) loyalty to one's lord and patriotism for one's country; loyalty to the Emperor and patriotism for Japan/"
千軍万馬;せんぐんばんば;/(n) vast and powerful army/veteran of many battles/(a person who is) rich in life's experience, having overcome much adversity/
千差万別;せんさばんべつ;/(sensabanbetsu/sensamanbetsu) (adj-na,adj-no,n) an infinite variety/multifarious/being extremely varied and wide-ranging/
海千山千;うみせんやません;/(n) sly old dog of much worldly wisdom/crafty person who's seen it all/
一日千秋;いちじつせんしゅう;/(n) (waiting) impatiently/(spending) many a weary day/each moment seeming like an eternity/
一別以来;いちべついらい;/(n-adv, n-t) since our last meeting/since we parted/
英姿颯爽;えいしさっそう;"/(adj-t,adv-to) cutting a fine (dashing, gallant, noble) figure; majestic appearance/"
四角四面;しかくしめん;"/(adj-na,adj-no,n) square/strait-laced/formal/prim and stiff; punctilious/"
野心満満;やしんまんまん;/(adj-no,adj-t,adv-to) burning with ambition/highly ambitious/
杜撰脱漏;ずさんだつろう;/(n) careless (slipshod) and with many omissions/
巧遅拙速;こうちせっそく;/(n) better being rough and ready than slow and elaborate/better being brisk and sharp than slow and prudent/
一家眷属;いっかけんぞく;/(n) one's family, relatives, and followers/
三日坊主;みっかぼうず;"/(n) one who can stick to nothing/one who has no perseverance; an unsteady worker/"
月下推敲;げっかすいこう;"/(n) polish/elaboration/repeatedly working over one's writing; being very scrupulous in the choice of diction/"
苦学力行;くがくりっこう;"/(n,vs) strenuous pursuit of learning under difficulties; completing one's education while working hard to support oneself/"
愚者一得;ぐしゃいっとく;/(exp,n) Even a fool may sometimes give good counsel./
精神一到;せいしんいっとう;"/(n) concentration of mind/mental concentration (on some task); determined mind/"
一世風靡;いっせいふうび;/(n) ruling the times/holding sway over the minds of the people/
一所懸命;いっしょけんめい;/(adj-na,n-adv,n) (1) very hard/with utmost effort/for dear life/frantically/(2) sticking at living in one place/samurai in earlier feudal times staking his livelihood on his fief/
好事多魔;こうじたま;"/(exp) Happy events are often accompanied by difficulties.; Unsullied joy is rare./"
燕雀鴻鵠;えんじゃくこうこく;/(exp,n) How can a small bird (a sparrow, a petty person) understand the aspirations of a great bird (Only a hero can understand a hero./Only a hero can understand a hero./
相碁井目;あいごせいもく;/(exp,n) In every game or play, differences in skill between individuals can be substantial./
心頭滅却;しんとうめっきゃく;/(n,vs) clearing one's mind of all mundane thoughts/
痛快無比;つうかいむひ;/(adj-na,adj-no,n) very thrilling/extremely delightful/awfully pleasant/intensely satisfying/
一日三秋;いちじつさんしゅう;/(n) (ichijitsusanshuu/ichinichisanshuu)(waiting) impatiently/(spending) many a weary day/each moment seeming like an eternity/
閉月羞花;へいげつしゅうか;/(n) the charms of a rarely beautiful woman/(Literally: (so beautiful that) the Moon is abashed and flowers wilt)/
垂直思考;すいちょくしこう;/(n) rigid (stereotypical) thinking that adheres to preconceived notions/
傾城傾国;けいせいけいこく;/(n) a beauty for whom a king would neglect his realm/glamorous woman who brings ruin to a realm as the king is captivated by her beauty/femme fatale/
迅速果断;じんそくかだん;/(n,adj-na) quick and decisive/fast and daring/swift and resolute/
低徊趣味;ていかいしゅみ;/(n) disposition toward rejecting mundane affairs and enjoying nature and art/
槿花一日;きんかいちじつ;/(n) evanescent glory/passing prosperity/
金襴緞子;きんらんどんす;/(n) gold-brocade satin damask/expensive silk fabrics/
門前成市;もんぜんせいし;/(n) having a constant stream of visitors/being thronged with callers/
蒟蒻問答;こんにゃくもんどう;/(n) irrelevant and incoherent dialogue/incoherent questions and answers/meaningless (off-the-beam) debate/dialogue at cross purposes/
老若男女;ろうにゃくなんにょ;/(n) men and women of all ages/young and old, men and women alike/
雲煙過眼;うんえんかがん;/(n) not being obsessed with something for very long (just as clouds and haze pass swiftly before one's eyes)/
本家本元;ほんけほんもと;/(n) original home/birthplace/originator/the original maker/
一六銀行;いちろくぎんこう;/(n) pawnshop/
自家薬籠;じかやくろう;/(n) (something that is) available for use at any time/(someone who is) at one's beck and call/(something over which) one has complete mastery/
街談巷説;がいだんこうせつ;/(n) street gossips and idle rumors/hearsay/
黄金時代;おうごんじだい;/(n) the Golden Age/a golden age/heyday/
以毒制毒;いどくせいどく;/(n) using poisonous medication to control poison/fighting evil with evil/fighting fire with fire/
自作自演;じさくじえん;"/(n,vs) performing (acting) a part in one's own play/playacting; a put-up job/a charade/"
簡単明瞭;かんたんめいりょう;/(n,adj-na) simple and clear/
吃驚仰天;きっきょうぎょうてん;"/(n,vs) be astonished/be stunned/be startled out of one's wits; be thunderstruck/"
怒髪衝天;どはつしょうてん;/(n) being in a towering rage/boiling (seething) with rage/
尊皇攘夷;そんのうじょうい;/(n) loyalty to the emperor and expulsion of the foreigners/
七難八苦;しちなんはっく;"/(n) trials and tribulations/a series of endless misfortunes; the Seven Misfortunes and Eight Pains/"
国威発揚;こくいはつよう;/(n) enhancing national prestige/expanding national influence/
点滴穿石;てんてきせんせき;/(exp,n) Constant dripping wears away the stone/Limited strength, when persistently applied, can accomplish great feats./
怨敵退散;おんてきたいさん;/(exp,n) invoking disaster upon one's mortal enemy/Confusion to the enemy!/
短慮軽率;たんりょけいそつ;/(n,adj-na) impulsive and imprudent/rash and unthinking/
天地無用;てんちむよう;/(exp,n) Do not turn over/This side up./
闘志満満;とうしまんまん;/(adj-no,adj-t,adv-to) brimming with fighting spirit/being strong in the will to fight/burning with combativeness/
正当防衛;せいとうぼうえい;/(n) (legitimate) self-defense/
夜目遠目;よめとおめ;/(n) seen in the dark or at a distance/(a woman) looking prettier when seen in the dark of night or at a distance/
